Address;Type;Title;Charset;Description
https://www.ramq.gouv.qc.ca/fr;text/html;Accueil | Régie de l’assurance maladie du Québec (RAMQ);utf-8;La Régie de l’assurance maladie du Québec administre les régimes publics d’assurance maladie et médicaments et rémunère les professionnels de la santé.
https://www.ramq.gouv.qc.ca/en;text/html;Home | Régie de l’assurance maladie du Québec (RAMQ);utf-8;"The Régie de l&#039;assurance maladie du Québec administers public health and drug insurance plans and pays health professionals."
https://www.ramq.gouv.qc.ca/en/citizens;text/html;English;utf-8;
https://www.ramq.gouv.qc.ca/fr/nous-joindre;text/html;Nous joindre | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vous avez des questions ou besoin d’information? Contactez la RAMQ par téléphone ou par courriel, ou rendez-vous à un point de service.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie;text/html;Assurance maladie | Régie de l’assurance maladie du Québec (RAMQ);utf-8;La RAMQ administre le régime d’assurance maladie du Québec et permet aux personnes inscrites de bénéficier de divers services de santé couverts.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-medicaments;text/html;Assurance médicaments | Régie de l’assurance maladie du Québec (RAMQ);utf-8;La RAMQ administre le régime public d’assurance médicaments. Toute personne établie au Québec de façon permanente doit être couverte par le régime public ou par un régime privé.
https://www.ramq.gouv.qc.ca/fr/citoyens/programmes-aide;text/html;Programmes d’aide | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Découvrez nos programmes : lunettes, verres de contact, aides visuelles et auditives, prothèses, appareils pour stomie ou déficience physique, hébergement.
https://www.ramq.gouv.qc.ca/fr/citoyens/absence-quebec;text/html;Absence du Québec | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vérifiez votre situation en assurance maladie et médicaments avant de quitter le Québec pour voyager, étudier, travailler ou déménager dans un autre pays.
https://www.ramq.gouv.qc.ca/fr/professionnels/Pages/professionnels.aspx;text/html;Professionnels | RAMQ;utf-8;La Régie de l’assurance maladie du Québec administre les régimes publics d’assurance maladie et médicaments et rémunère les professionnels de la santé.
https://www.ramq.gouv.qc.ca/fr/nouveaux-arrivants-inscrivez-vous-ligne-a-assurance-maladie;text/html;Nouveaux arrivants : inscrivez-vous en ligne à l’assurance maladie | Régie de l’assurance maladie du Québec (RAMQ);utf-8;
https://www.ramq.gouv.qc.ca/fr/actualites;text/html;Actualités | Régie de l’assurance maladie du Québec (RAMQ);utf-8;La Régie de l’assurance maladie du Québec administre les régimes publics d’assurance maladie et médicaments et rémunère les professionnels de la santé.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie/inscrire;text/html;"M&#039;inscrire à l&#039;assurance maladie | Régie de l’assurance maladie du Québec (RAMQ)";utf-8;Si vous êtes admissible, vous pouvez vous inscrire au régime d’assurance maladie dès votre arrivée au Québec pour y séjourner ou vous y établir.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-medicaments/inscrire-desinscrire;text/html;M’inscrire au régime public d’assurance médicaments ou m’en désinscrire | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Si vous résidez au Québec de façon permanente, vous devez être couvert en tout temps par un régime d’assurance médicaments.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie/renouveler-carte-assurance-maladie;text/html;<strong>Renouveler une carte</strong> d’assurance maladie;utf-8;
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-medicaments/savoir-si-medicament-est-couvert;text/html;Savoir si un médicament est couvert | Régie de l’assurance maladie du Québec (RAMQ);utf-8;La Régie de l’assurance maladie du Québec administre les régimes publics d’assurance maladie et médicaments et rémunère les professionnels de la santé.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie/remplacer-corriger-carte;text/html;Remplacer ou corriger une carte d’assurance maladie | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Demandez le remplacement d’une carte d’assurance maladie en cas de bris, de perte, de vol, d’erreur sur la carte ou de changement de situation.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie/demander-remboursement-services-couverts;text/html;Demander le remboursement de services couverts | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vous pouvez demander le remboursement de services de santé couverts par le régime d’assurance maladie du Québec à certaines conditions.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie/trouver-medecin-famille;text/html;Trouver un médecin de famille | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Pour trouver un médecin, inscrivez-vous au Guichet d’accès à un médecin de famille. Le délai d’attente peut varier selon la disponibilité des médecins et le nombre d’inscriptions dans votre région.
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie/exprimer-mes-directives-soins-en-cas-inaptitude;text/html;Décider de mes <strong>soins de fin de vie</strong> en cas d’inaptitude;utf-8;
https://www.ramq.gouv.qc.ca/fr/citoyens/assurance-maladie/officialiser-mon-consentement-au-don-organes-tissus;text/html;Officialiser mon consentement au <strong>don d’organes et de tissus</strong>;utf-8;
https://www.ramq.gouv.qc.ca/fr/citoyens/naissance-adoption;text/html;Naissance ou adoption | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Lors d’une naissance ou d’une adoption, voyez comment inscrire votre enfant à l’assurance maladie et vérifiez si vous devez faire des démarches pour l’assurance médicaments.
https://www.ramq.gouv.qc.ca/fr/citoyens/18e-anniversaire-votre-enfant;text/html;18e anniversaire de votre enfant | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vérifiez si vous devez prolonger votre assurance médicaments parentale lors que votre enfant atteint ses 18 ans.
https://www.ramq.gouv.qc.ca/fr/citoyens/fin-arret-etudes;text/html;Fin ou arrêt des études | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vérifiez si votre enfant demeure couvert par votre assurance médicaments lorsqu’il cesse ou termine ses études.
https://www.ramq.gouv.qc.ca/fr/citoyens/nouvel-emploi;text/html;Nouvel emploi | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vérifiez si vous demeurez couvert par l’assurance médicaments lorsque vous travaillez pour un nouvel employeur ou devenez membre d’une nouvelle organisation.
https://www.ramq.gouv.qc.ca/fr/citoyens/nouveau-couple;text/html;Nouveau couple | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vérifiez quels sont les effets d’une nouvelle union sur votre couverture d’assurance médicaments.
https://www.ramq.gouv.qc.ca/fr/citoyens/fin-emploi-absence-temporaire;text/html;Fin d’emploi ou absence temporaire  | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vous devez être couvert par une assurance médicaments lorsque vous êtes sans emploi ou lors d’une absence temporaire du travail, pour un congé de maladie ou un congé parental, par exemple.
https://www.ramq.gouv.qc.ca/fr/citoyens/separation-divorce;text/html;Séparation ou divorce | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vérifiez quels sont les effets d’une séparation ou d’un divorce sur votre couverture d’assurance médicaments et sur celle de vos enfants.
https://www.ramq.gouv.qc.ca/fr/citoyens/demenagement;text/html;Déménagement | Régie de l’assurance maladie du Québec (RAMQ);utf-8;Vérifiez si vous avez fait les toutes les démarches nécessaires auprès de la RAMQ lors de votre déménagement.
