Address;Status-Code;Status-Text;Type;Size;Title;Date;Level;Links Out;Links In;Server;Error;Duration;Charset;Description
https://www.urgences-sante.qc.ca/;200;ok;text/html;53756;Accueil - Urgences-santé;;0;168;173;nginx;;00:00.434;utf-8;
https://www.urgences-sante.qc.ca/?p=10;200;ok;text/html;;;;2;1;1;nginx;;00:08.839;utf-8;
https://www.urgences-sante.qc.ca/?p=10112;200;ok;text/html;;;;6;1;1;nginx;;00:06.487;utf-8;
https://www.urgences-sante.qc.ca/?p=10478;200;ok;text/html;;;;6;1;1;nginx;;00:06.578;utf-8;
https://www.urgences-sante.qc.ca/?p=10558;200;ok;text/html;;;;6;1;1;nginx;;00:07.331;utf-8;
https://www.urgences-sante.qc.ca/?p=10590;200;ok;text/html;;;;6;1;1;nginx;;00:07.018;utf-8;
https://www.urgences-sante.qc.ca/?p=10602;200;ok;text/html;;;;6;1;1;nginx;;00:04.686;utf-8;
https://www.urgences-sante.qc.ca/?p=10608;200;ok;text/html;;;;6;1;1;nginx;;00:04.606;utf-8;
https://www.urgences-sante.qc.ca/?p=10662;200;ok;text/html;;;;6;1;1;nginx;;00:06.245;utf-8;
https://www.urgences-sante.qc.ca/?p=1091;200;ok;text/html;;;;2;1;1;nginx;;00:08.055;utf-8;
https://www.urgences-sante.qc.ca/?p=11;200;ok;text/html;;;;2;1;1;nginx;;00:07.277;utf-8;
https://www.urgences-sante.qc.ca/?p=11126;200;ok;text/html;;;;6;1;1;nginx;;00:04.523;utf-8;
https://www.urgences-sante.qc.ca/?p=11874;200;ok;text/html;;;;6;1;1;nginx;;00:04.803;utf-8;
https://www.urgences-sante.qc.ca/?p=11942;200;ok;text/html;;;;2;1;1;nginx;;00:07.446;utf-8;
https://www.urgences-sante.qc.ca/?p=12;200;ok;text/html;;;;2;1;1;nginx;;00:07.506;utf-8;
https://www.urgences-sante.qc.ca/?p=12297;200;ok;text/html;;;;6;1;1;nginx;;00:03.513;utf-8;
https://www.urgences-sante.qc.ca/?p=12951;200;ok;text/html;;;;6;1;1;nginx;;00:05.229;utf-8;
https://www.urgences-sante.qc.ca/?p=1299;200;ok;text/html;;;;7;1;1;nginx;;00:06.118;utf-8;
https://www.urgences-sante.qc.ca/?p=13017;200;ok;text/html;;;;3;1;1;nginx;;00:07.570;utf-8;
https://www.urgences-sante.qc.ca/?p=13138;200;ok;text/html;;;;2;1;1;nginx;;00:07.367;utf-8;
https://www.urgences-sante.qc.ca/?p=1314;200;ok;text/html;;;;7;1;1;nginx;;00:06.754;utf-8;
https://www.urgences-sante.qc.ca/?p=13142;200;ok;text/html;;;;3;1;1;nginx;;00:07.144;utf-8;
https://www.urgences-sante.qc.ca/?p=13143;200;ok;text/html;;;;3;1;1;nginx;;00:07.005;utf-8;
https://www.urgences-sante.qc.ca/?p=13151;200;ok;text/html;;;;6;1;1;nginx;;00:05.206;utf-8;
https://www.urgences-sante.qc.ca/?p=1318;200;ok;text/html;;;;7;1;1;nginx;;00:07.306;utf-8;
https://www.urgences-sante.qc.ca/?p=1322;200;ok;text/html;;;;7;1;1;nginx;;00:07.514;utf-8;
https://www.urgences-sante.qc.ca/?p=1324;200;ok;text/html;;;;7;1;1;nginx;;00:06.966;utf-8;
https://www.urgences-sante.qc.ca/?p=1327;200;ok;text/html;;;;7;1;1;nginx;;00:06.709;utf-8;
https://www.urgences-sante.qc.ca/?p=1329;200;ok;text/html;;;;7;1;1;nginx;;00:05.703;utf-8;
https://www.urgences-sante.qc.ca/?p=1331;200;ok;text/html;;;;7;1;1;nginx;;00:06.767;utf-8;
https://www.urgences-sante.qc.ca/?p=1333;200;ok;text/html;;;;8;1;1;nginx;;00:00.743;utf-8;
https://www.urgences-sante.qc.ca/?p=13331;200;ok;text/html;;;;6;1;1;nginx;;00:06.192;utf-8;
https://www.urgences-sante.qc.ca/?p=13335;200;ok;text/html;;;;6;1;1;nginx;;00:05.025;utf-8;
https://www.urgences-sante.qc.ca/?p=1338;200;ok;text/html;;;;8;1;1;nginx;;00:00.342;utf-8;
https://www.urgences-sante.qc.ca/?p=13388;200;ok;text/html;;;;6;1;1;nginx;;00:04.322;utf-8;
https://www.urgences-sante.qc.ca/?p=1340;200;ok;text/html;;;;8;1;1;nginx;;00:00.743;utf-8;
https://www.urgences-sante.qc.ca/?p=1342;200;ok;text/html;;;;8;1;1;nginx;;00:00.199;utf-8;
https://www.urgences-sante.qc.ca/?p=13458;200;ok;text/html;;;;6;1;1;nginx;;00:06.315;utf-8;
https://www.urgences-sante.qc.ca/?p=13824;200;ok;text/html;;;;6;1;1;nginx;;00:07.261;utf-8;
https://www.urgences-sante.qc.ca/?p=13840;200;ok;text/html;;;;6;1;1;nginx;;00:05.927;utf-8;
https://www.urgences-sante.qc.ca/?p=14;200;ok;text/html;;;;2;1;1;nginx;;00:08.341;utf-8;
https://www.urgences-sante.qc.ca/?p=14032;200;ok;text/html;;;;6;1;1;nginx;;00:03.261;utf-8;
https://www.urgences-sante.qc.ca/?p=14540;200;ok;text/html;;;;2;1;1;nginx;;00:09.314;utf-8;
https://www.urgences-sante.qc.ca/?p=14728;200;ok;text/html;;;;5;1;1;nginx;;00:08.421;utf-8;
https://www.urgences-sante.qc.ca/?p=14930;200;ok;text/html;;;;5;1;1;nginx;;00:08.273;utf-8;
https://www.urgences-sante.qc.ca/?p=15015;200;ok;text/html;;;;3;1;1;nginx;;00:08.632;utf-8;
https://www.urgences-sante.qc.ca/?p=15511;200;ok;text/html;;;;5;1;1;nginx;;00:08.746;utf-8;
https://www.urgences-sante.qc.ca/?p=15964;200;ok;text/html;;;;5;1;1;nginx;;00:07.939;utf-8;
https://www.urgences-sante.qc.ca/?p=16;200;ok;text/html;;;;2;1;1;nginx;;00:06.065;utf-8;
https://www.urgences-sante.qc.ca/?p=16032;200;ok;text/html;;;;5;1;1;nginx;;00:07.821;utf-8;
https://www.urgences-sante.qc.ca/?p=16034;200;ok;text/html;;;;5;1;1;nginx;;00:07.274;utf-8;
https://www.urgences-sante.qc.ca/?p=16104;200;ok;text/html;;;;5;1;1;nginx;;00:07.789;utf-8;
https://www.urgences-sante.qc.ca/?p=16108;200;ok;text/html;;;;5;1;1;nginx;;00:07.403;utf-8;
https://www.urgences-sante.qc.ca/?p=16453;200;ok;text/html;;;;2;1;1;nginx;;00:08.903;utf-8;
https://www.urgences-sante.qc.ca/?p=16463;200;ok;text/html;;;;2;1;1;nginx;;00:09.454;utf-8;
https://www.urgences-sante.qc.ca/?p=16676;200;ok;text/html;;;;3;1;1;nginx;;00:07.954;utf-8;
https://www.urgences-sante.qc.ca/?p=16680;200;ok;text/html;;;;4;1;1;nginx;;00:09.346;utf-8;
https://www.urgences-sante.qc.ca/?p=16686;200;ok;text/html;;;;3;1;1;nginx;;00:08.310;utf-8;
https://www.urgences-sante.qc.ca/?p=16689;200;ok;text/html;;;;3;1;1;nginx;;00:07.942;utf-8;
https://www.urgences-sante.qc.ca/?p=16692;200;ok;text/html;;;;3;1;1;nginx;;00:07.389;utf-8;
https://www.urgences-sante.qc.ca/?p=16694;200;ok;text/html;;;;3;1;1;nginx;;00:08.126;utf-8;
https://www.urgences-sante.qc.ca/?p=16698;200;ok;text/html;;;;4;1;1;nginx;;00:09.633;utf-8;
https://www.urgences-sante.qc.ca/?p=16942;200;ok;text/html;;;;2;1;1;nginx;;00:07.448;utf-8;
https://www.urgences-sante.qc.ca/?p=17;200;ok;text/html;;;;2;1;1;nginx;;00:07.396;utf-8;
https://www.urgences-sante.qc.ca/?p=17297;200;ok;text/html;;;;5;1;1;nginx;;00:08.241;utf-8;
https://www.urgences-sante.qc.ca/?p=17306;200;ok;text/html;;;;5;1;1;nginx;;00:08.004;utf-8;
https://www.urgences-sante.qc.ca/?p=178;200;ok;text/html;;;;2;1;1;nginx;;00:09.299;utf-8;
https://www.urgences-sante.qc.ca/?p=179;200;ok;text/html;;;;2;1;1;nginx;;00:07.673;utf-8;
https://www.urgences-sante.qc.ca/?p=18;200;ok;text/html;;;;2;1;1;nginx;;00:09.466;utf-8;
https://www.urgences-sante.qc.ca/?p=18494;200;ok;text/html;;;;3;1;1;nginx;;00:08.988;utf-8;
