Address;Status-Code;Status-Text;Type;Size;Title;Date;Level;Links Out;Links In;Server;Error;Duration;Charset;Description
http://residence-berthiaume-du-tremblay.com/centre-de-jour/presentation/;200;ok;text/html;;;;1;1;1;Apache;;00:06.347;utf-8;
http://residence-berthiaume-du-tremblay.com/le-resident-et-ses-proches/vivre-a-la-residence/;200;ok;text/html;;;;1;1;1;Apache;;00:09.864;utf-8;
http://residence-berthiaume-du-tremblay.com/soins-et-services/soins-cliniques-et-medicaux/;200;ok;text/html;;;;1;1;1;Apache;;00:09.864;utf-8;
http://twitter.com/CIUSSS_COMTL;200;ok;;;"<img src=""/typo3conf/ext/tm_core/Resources/Public/images/footer-tw.svg"" width=""24"" height=""24""   alt=""Twitter CIUSSS Centre-Ouest"" >";;1;1;313;tsa_b;;00:00.150;utf-8;
http://www.gracedart.ca/;200;ok;text/html;12272;"Centre de soins prolong&eacute;s Grace Dart";27.05.2022  12:04:54;0;68;22;Apache;;00:00.894;utf-8;
http://www.gracedart.ca/index.php;200;ok;text/html;12272;"Centre de soins prolong&eacute;s Grace Dart";27.05.2022  12:05:07;2;70;23;Apache;;00:00.465;utf-8;
http://www.gracedart.ca/index.php?page=alimentation;200;ok;text/html;10242;"Alimentation - Centre de soins prolong&eacute;s Grace Dart";27.05.2022  12:05:50;1;57;22;Apache;;00:00.197;utf-8;
http://www.gracedart.ca/index.php?page=annual-report;200;ok;text/html;9115;Annual report - Grace Dart Extended Care Centre;27.05.2022  12:04:58;1;54;23;Apache;;00:00.303;utf-8;
http://www.gracedart.ca/index.php?page=benevolat;200;ok;text/html;8671;"Bénévolat - Centre de soins prolong&eacute;s Grace Dart";27.05.2022  12:05:32;1;50;22;Apache;;00:00.342;utf-8;
http://www.gracedart.ca/index.php?page=client;200;ok;text/html;8980;Client Services - Grace Dart Extended Care Centre;27.05.2022  12:04:56;1;47;44;Apache;;00:00.290;utf-8;
http://www.gracedart.ca/index.php?page=conseils-et-comites;200;ok;text/html;12655;"Conseils et comités  - Centre de soins prolong&eacute;s Grace Dart";27.05.2022  12:05:14;1;58;22;Apache;;00:00.248;utf-8;
http://www.gracedart.ca/index.php?page=contact;200;ok;text/html;9628;"Coordonnées - Centre de soins prolong&eacute;s Grace Dart";27.05.2022  12:06:03;1;52;22;Apache;;00:00.278;utf-8;
http://www.gracedart.ca/index.php?page=contact-us;200;ok;text/html;8901;Contact us - Grace Dart Extented Care Centre;27.05.2022  12:06:29;1;47;44;Apache;;00:00.347;utf-8;
